SEQNO,Sex,Age,Education,Income
2021000001,0,11,4,5
2021000002,0,11,4,3
2021000003,0,9,4,7
2021000004,1,12,3,4
2021000005,1,13,5,6
2021000006,0,10,4,8
2021000007,0,10,5,3
2021000008,1,12,6,7
2021000009,0,7,4,6
2021000010,1,10,4,8
2021000011,1,6,5,2
2021000012,0,11,5,4
2021000013,1,13,6,5
2021000014,0,8,4,8
2021000015,0,13,6,6
2021000016,0,11,4,5
2021000017,0,10,6,8
2021000018,1,11,6,8
2021000019,0,11,5,5
2021000020,0,10,5,6
2021000021,1,11,4,5
2021000022,0,7,5,5
2021000023,0,12,4,5
2021000024,1,12,6,8
2021000025,0,9,6,8
2021000026,0,13,5,8
2021000027,0,12,5,2
2021000030,0,8,5,7
2021000031,0,9,4,7
2021000033,0,10,5,3
2021000036,1,11,6,7
2021000039,0,7,6,7
2021000040,1,12,3,4
2021000041,0,10,6,7
2021000042,0,6,4,3
2021000043,0,10,5,6
2021000045,0,6,5,1
2021000046,0,9,3,3
2021000047,0,8,6,7
2021000048,0,4,4,4
2021000049,1,9,6,6
2021000050,0,8,2,6
2021000051,0,10,6,6
2021000052,0,9,4,8
2021000053,0,13,5,4
2021000054,0,10,5,7
2021000055,0,13,4,2
2021000056,1,11,4,7
2021000057,0,12,4,7
2021000058,1,11,5,4
2021000059,0,4,6,7
2021000060,0,13,6,5
2021000061,1,11,6,7
2021000062,1,12,6,8
2021000063,0,10,6,8
2021000064,1,11,4,5
2021000065,0,12,4,5
2021000066,0,13,3,1
2021000067,0,11,4,4
2021000068,0,9,4,5
2021000069,0,8,6,5
2021000070,0,11,6,6
2021000071,0,12,4,4
2021000072,1,12,6,8
2021000073,0,8,5,7
2021000074,1,10,6,8
2021000075,0,13,6,6
2021000077,0,9,5,7
2021000078,0,9,4,5
2021000080,1,11,6,5
2021000081,0,11,4,5
2021000082,0,9,4,5
2021000083,0,13,5,4
2021000084,0,6,6,7
2021000085,0,12,4,2
2021000086,1,13,6,6
2021000087,0,10,6,7
2021000088,0,13,4,3
2021000089,1,9,4,2
2021000091,1,10,3,2
2021000093,1,8,4,7
2021000094,0,9,4,7
2021000095,0,10,6,8
2021000097,0,13,6,8
2021000098,0,11,5,6
2021000099,1,9,6,4
2021000100,0,12,4,8
2021000101,0,12,6,2
2021000102,0,9,2,3
2021000105,0,11,4,3
2021000106,0,13,5,5
2021000107,0,9,5,5
2021000108,0,12,4,5
2021000109,0,11,5,4
2021000110,1,12,6,7
2021000111,0,12,4,4
2021000113,1,10,3,4
2021000114,0,7,4,5
2021000115,0,12,6,5
2021000117,0,11,6,8
2021000118,0,13,6,4
2021000119,0,13,5,7
2021000120,1,12,5,3
2021000121,0,13,6,7
2021000122,1,8,5,4
2021000123,0,10,4,8
2021000124,0,12,4,5
2021000126,1,11,5,5
2021000128,1,9,4,1
2021000129,0,9,5,5
2021000130,0,13,6,6
2021000131,0,9,6,8
2021000132,0,11,5,5
2021000133,0,12,6,4
2021000134,1,10,3,1
2021000135,0,13,3,1
2021000137,1,9,6,7
2021000138,1,13,4,5
2021000140,1,7,6,7
2021000141,1,10,6,6
2021000143,1,13,5,5
2021000144,0,11,5,6
2021000145,1,9,5,8
2021000146,0,8,6,7
2021000148,0,11,5,6
2021000149,0,11,4,5
2021000150,0,11,5,5
2021000151,1,10,4,2
2021000152,0,9,4,7
2021000153,0,13,5,4
2021000155,0,12,4,6
2021000156,0,10,4,4
2021000157,0,9,4,3
2021000158,0,9,4,5
2021000159,0,9,5,3
2021000160,0,11,4,3
2021000161,0,12,5,4
2021000162,0,13,5,5
2021000163,1,9,6,8
2021000164,0,11,5,6
2021000166,0,11,6,7
2021000167,1,11,5,5
2021000168,0,9,4,2
2021000169,1,7,4,4
2021000170,0,10,5,4
2021000171,0,12,5,2
2021000172,0,6,6,8
2021000173,0,8,3,3
2021000174,1,13,6,6
2021000175,0,12,4,5
2021000176,0,11,4,6
2021000178,0,10,5,3
2021000179,0,9,5,2
2021000180,1,8,4,7
2021000181,0,13,5,5
2021000182,0,13,6,7
2021000183,0,12,5,7
2021000185,0,12,4,1
2021000186,1,13,6,8
2021000187,1,11,6,8
2021000189,0,5,4,5
2021000190,1,11,6,8
2021000191,0,11,6,7
2021000193,0,13,4,8
2021000194,1,11,4,6
2021000196,0,6,6,7
2021000197,0,11,5,6
2021000200,0,13,4,4
2021000201,1,11,5,8
2021000202,1,12,3,3
2021000203,0,11,4,6
2021000204,0,11,6,8
2021000205,0,11,4,6
2021000206,0,8,5,4
2021000207,0,6,6,8
2021000208,1,8,5,8
2021000209,0,8,4,7
2021000210,0,4,3,3
2021000211,0,11,6,7
2021000212,0,11,5,8
2021000213,0,12,5,4
2021000214,0,11,6,6
2021000215,0,12,4,5
2021000216,0,13,6,7
2021000217,0,11,4,6
2021000218,0,7,4,8
2021000219,1,11,6,5
2021000220,1,13,6,8
2021000222,0,7,6,8
2021000224,1,13,6,8
2021000225,0,13,4,6
2021000227,0,9,4,3
2021000229,1,13,2,5
2021000230,0,13,3,3
2021000231,0,6,5,8
2021000232,1,10,4,6
2021000235,0,12,6,5
2021000236,0,13,4,5
2021000237,0,10,6,6
2021000238,1,11,6,6
2021000239,1,13,6,7
2021000240,0,9,4,8
2021000241,1,13,6,6
2021000242,1,10,3,3
2021000243,1,11,3,6
2021000244,0,5,3,1
2021000245,0,11,5,7
2021000247,0,10,4,5
2021000249,1,11,6,8
2021000250,0,9,4,2
2021000251,1,12,6,7
2021000252,1,10,4,3
2021000253,1,10,6,7
2021000254,0,10,5,4
2021000255,0,11,4,6
2021000256,0,9,6,7
2021000257,0,13,5,6
2021000258,0,11,4,5
2021000259,0,9,4,4
2021000260,1,9,5,6
2021000261,0,11,6,7
2021000262,1,12,3,3
2021000263,0,13,3,6
2021000264,1,13,4,6
2021000265,0,11,5,1
2021000266,1,12,4,4
2021000267,0,12,4,3
2021000269,0,10,4,8
2021000270,0,11,5,6
2021000271,1,13,6,7
2021000272,1,13,6,5
2021000273,0,3,6,7
2021000274,0,13,3,5
2021000275,1,11,3,4
2021000276,0,9,6,6
2021000277,0,12,4,7
2021000278,1,9,4,2
2021000279,1,9,6,4
2021000281,0,12,6,8
2021000282,1,8,6,8
2021000283,1,10,5,8
2021000285,0,11,6,7
2021000286,0,11,5,8
2021000287,0,8,6,7
2021000289,1,10,4,6
2021000290,0,9,6,8
2021000291,0,13,6,7
2021000292,0,13,5,5
2021000293,0,10,5,7
2021000294,1,11,4,6
2021000295,0,9,4,5
2021000296,0,10,4,3
2021000297,0,11,6,7
2021000298,0,10,6,6
2021000299,1,10,6,8
2021000300,1,11,4,4
2021000301,0,13,4,8
2021000302,0,10,2,5
2021000304,0,9,4,3
2021000305,0,10,4,5
2021000306,0,8,3,4
2021000307,0,12,5,5
2021000308,0,9,4,5
2021000309,0,10,4,5
2021000310,1,13,2,1
2021000311,1,9,4,7
2021000313,0,8,6,7
2021000314,0,10,4,5
2021000316,0,10,6,8
2021000317,0,11,6,8
2021000318,0,11,5,5
2021000320,0,9,6,3
2021000321,0,13,3,4
2021000322,1,8,3,1
2021000325,0,9,5,3
2021000326,1,11,5,6
2021000327,0,13,5,3
2021000328,0,12,3,3
2021000329,0,11,4,5
2021000331,1,12,6,6
2021000333,0,11,6,5
2021000334,0,12,3,5
2021000335,0,9,3,6
2021000336,1,13,5,1
2021000337,0,10,5,7
2021000338,0,10,4,1
2021000340,0,13,6,7
2021000341,0,9,5,6
2021000342,0,13,4,5
2021000343,0,9,5,1
2021000344,0,13,6,5
2021000345,0,9,4,6
2021000347,0,8,6,7
2021000348,0,11,4,6
2021000350,0,7,4,7
2021000351,1,1,5,7
2021000352,0,13,6,6
2021000353,0,13,3,5
2021000354,0,9,6,6
2021000355,1,9,4,7
2021000357,0,13,3,5
2021000358,0,12,5,8
2021000360,0,7,4,5
2021000361,0,9,5,5
2021000362,0,13,6,6
2021000363,0,11,3,3
2021000364,1,13,6,5
